Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,RFM_Score
12346.0,165,11,372.86,1,4,2,142,7
12347.0,3,2,1224.17,4,2,4,424,10
12348.0,74,1,222.16,2,1,2,212,5
12349.0,43,2,1635.8899999999999,3,2,4,324,9
12351.0,11,1,288.18,4,1,2,412,7
12352.0,11,2,331.05,4,2,2,422,8
12353.0,44,1,317.76,3,1,2,312,6
12355.0,203,1,437.11,1,1,2,112,4
12356.0,16,3,852.87,4,3,3,433,10
12357.0,24,1,3227.08,3,1,4,314,8
12358.0,11,3,1115.71,4,3,3,433,10
12359.0,61,6,1702.76,2,4,4,244,10
12360.0,28,3,1218.79,3,3,4,334,10
12361.0,98,3,276.35,2,3,2,232,7
12368.0,264,1,371.5,1,1,2,112,4
12369.0,49,3,1280.13,3,3,4,334,10
12370.0,260,3,474.92,1,3,2,132,6
12371.0,45,3,1787.6200000000001,3,3,4,334,10
12373.0,260,2,534.0500000000001,1,2,3,123,6
12374.0,57,2,1369.05,2,2,4,224,8
12376.0,53,1,112.55,2,1,1,211,4
12377.0,17,2,1421.32,4,2,4,424,10
12378.0,198,1,1076.57,1,1,3,113,5
12379.0,58,2,673.0799999999999,2,2,3,223,7
12380.0,101,4,3494.82,2,3,4,234,9
12385.0,15,1,1359.1,4,1,4,414,9
12386.0,2,1,215.7,4,1,1,411,6
12387.0,51,1,110.03999999999999,3,1,1,311,5
12388.0,81,2,1089.8500000000001,2,2,3,223,7
12389.0,38,3,1209.43,3,3,4,334,10
12391.0,100,4,1483.78,2,3,4,234,9
12392.0,227,1,196.95000000000002,1,1,1,111,3
12393.0,18,2,684.2,4,2,3,423,9
12395.0,7,4,1455.54,4,3,4,434,11
12396.0,310,1,883.58,1,1,3,113,5
12399.0,21,3,564.69,3,3,3,333,9
12400.0,50,1,205.25,3,1,1,311,5
12402.0,28,5,928.55,3,3,3,333,9
12403.0,157,1,67.5,1,1,1,111,3
12406.0,35,3,1768.42,3,3,4,334,10
12408.0,21,3,858.4399999999999,3,3,3,333,9
12409.0,56,2,2601.7200000000003,2,2,4,224,8
12410.0,138,1,223.38,1,1,2,112,4
12411.0,45,1,255.4,3,1,2,312,6
12412.0,38,3,988.79,3,3,3,333,9
12413.0,38,1,106.95,3,1,1,311,5
12414.0,99,1,74.88,2,1,1,211,4
12415.0,11,4,2486.35,4,3,4,434,11
12416.0,292,1,202.56,1,1,1,111,3
12417.0,46,11,1822.54,3,4,4,344,11
12418.0,49,3,1237.25,3,3,4,334,10
12419.0,21,2,274.31,3,2,2,322,7
12421.0,51,2,202.71,3,2,1,321,6
12422.0,30,9,1749.34,3,4,4,344,11
12423.0,23,2,643.6800000000001,3,2,3,323,8
12424.0,58,2,997.3299999999999,2,2,3,223,7
12425.0,84,1,907.99,2,1,3,213,6
12426.0,298,1,658.6800000000001,1,1,3,113,5
12427.0,7,1,120.3,4,1,1,411,6
12429.0,1,5,1607.89,4,3,4,434,11
12431.0,9,11,3289.67,4,4,4,444,12
12433.0,2,5,4825.93,4,3,4,434,11
12434.0,17,1,239.64000000000001,4,1,2,412,7
12435.0,32,3,1478.3799999999999,3,3,4,334,10
12437.0,31,19,5733.66,3,4,4,344,11
12439.0,318,2,1048.28,1,2,3,123,6
12440.0,98,2,619.9,2,2,3,223,7
12441.0,2,1,155.55,4,1,1,411,6
12443.0,368,1,232.86,1,1,2,112,4
12445.0,56,1,301.58000000000004,2,1,2,212,5
12450.0,35,3,447.82,3,3,2,332,8
12451.0,99,3,2764.7400000000002,2,3,4,234,9
12455.0,81,4,1968.0900000000001,2,3,4,234,9
12457.0,71,1,257.0,2,1,2,212,5
12458.0,63,2,669.34,2,2,3,223,7
12459.0,241,1,343.35,1,1,2,112,4
12460.0,92,1,236.95,2,1,2,212,5
12467.0,59,1,132.8,2,1,1,211,4
12468.0,162,3,1753.56,1,3,4,134,8
12469.0,158,1,1005.4000000000001,1,1,3,113,5
12470.0,325,1,183.25,1,1,1,111,3
12471.0,10,42,11819.7,4,4,4,444,12
12472.0,5,13,9276.46,4,4,4,444,12
12474.0,14,11,4003.54,4,4,4,444,12
12475.0,45,1,359.36,3,1,2,312,6
12476.0,33,6,5398.31,3,4,4,344,11
12477.0,35,3,4982.37,3,3,4,334,10
12480.0,35,3,1381.92,3,3,4,334,10
12481.0,1,5,3340.75,4,3,4,434,11
12482.0,236,12,821.4,1,4,3,143,8
12483.0,14,9,1395.9,4,4,4,444,12
12484.0,119,5,1210.56,2,3,4,234,9
12485.0,165,1,612.3000000000001,1,1,3,113,5
12486.0,67,1,765.0,2,1,3,213,6
12490.0,14,10,3403.63,4,4,4,444,12
12492.0,39,1,316.15,3,1,2,312,6
12494.0,1,3,450.1,4,3,2,432,9
12495.0,276,1,243.4,1,1,2,112,4
12496.0,256,2,45.34,1,2,1,121,4
12499.0,196,1,297.15999999999997,1,1,2,112,4
12500.0,71,7,1069.49,2,4,3,243,9
12504.0,53,2,129.0,2,2,1,221,5
12505.0,44,1,583.8,3,1,3,313,7
12507.0,220,1,362.25,1,1,2,112,4
12510.0,95,5,1806.28,2,3,4,234,9
12511.0,64,1,2496.71,2,1,4,214,7
12514.0,277,1,478.2,1,1,2,112,4
12516.0,66,2,699.6,2,2,3,223,7
12519.0,112,1,319.88,2,1,2,212,5
12523.0,10,12,1935.19,4,4,4,444,12
12524.0,45,4,987.55,3,3,3,333,9
12525.0,134,3,798.1800000000001,2,3,3,233,8
12527.0,165,1,164.8,1,1,1,111,3
12529.0,164,1,280.68,1,1,2,112,4
12530.0,51,5,1214.77,3,3,4,334,10
12531.0,322,1,1553.03,1,1,4,114,6
12533.0,263,2,1100.89,1,2,3,123,6
12537.0,44,1,602.99,3,1,3,313,7
12538.0,14,1,189.45,4,1,1,411,6
12539.0,86,3,3928.5,2,3,4,234,9
12540.0,14,14,5404.150000000001,4,4,4,444,12
12542.0,120,2,359.61,2,2,2,222,6
12543.0,84,1,656.8,2,1,3,213,6
12547.0,136,1,147.78,2,1,1,211,4
12549.0,211,5,944.72,1,3,3,133,7
12553.0,21,2,585.37,3,2,3,323,8
12554.0,84,1,347.6,2,1,2,212,5
12562.0,21,2,600.9,3,2,3,323,8
12563.0,44,1,221.24,3,1,2,312,6
12567.0,3,7,2856.44,4,4,4,444,12
12568.0,280,1,30.7,1,1,1,111,3
12573.0,17,4,472.96,4,3,2,432,9
12575.0,93,2,508.46999999999997,2,2,3,223,7
12576.0,28,3,721.82,3,3,3,333,9
12577.0,17,5,884.76,4,3,3,433,10
12578.0,21,2,1211.74,3,2,4,324,9
12580.0,212,1,576.9,1,1,3,113,5
12582.0,58,2,994.37,2,2,3,223,7
12583.0,9,13,5317.44,4,4,4,444,12
12586.0,10,3,1268.98,4,3,4,434,11
12588.0,35,2,400.08,3,2,2,322,7
12589.0,57,4,2178.13,2,3,4,234,9
12591.0,26,2,619.55,3,2,3,323,8
12592.0,155,2,510.84,1,2,3,123,6
12594.0,14,5,1358.49,4,3,4,434,11
12595.0,140,1,197.4,1,1,1,111,3
12598.0,99,3,1024.26,2,3,3,233,8
12599.0,17,6,911.88,4,4,3,443,11
12600.0,11,11,1917.68,4,4,4,444,12
12601.0,40,1,60.3,3,1,1,311,5
12605.0,12,3,1117.0,4,3,3,433,10
12608.0,40,1,159.95,3,1,1,311,5
12609.0,10,6,1759.26,4,4,4,444,12
12613.0,24,5,2745.9900000000002,3,3,4,334,10
12615.0,49,4,2741.82,3,3,4,334,10
12616.0,24,1,326.1,3,1,2,312,6
12619.0,196,1,127.39,1,1,1,111,3
12621.0,1,16,4768.4,4,4,4,444,12
12623.0,52,6,2769.92,3,4,4,344,11
12625.0,145,2,1964.92,1,2,4,124,7
12629.0,21,2,635.72,3,2,3,323,8
12631.0,92,5,2495.67,2,3,4,234,9
12632.0,156,2,657.16,1,2,3,123,6
12633.0,18,3,2819.5299999999997,4,3,4,434,11
12634.0,184,1,360.0,1,1,2,112,4
12635.0,28,2,1003.23,3,2,3,323,8
12637.0,14,4,1997.95,4,3,4,434,11
12638.0,275,1,93.3,1,1,1,111,3
12639.0,70,2,645.97,2,2,3,223,7
12644.0,66,3,1277.03,2,3,4,234,9
12645.0,45,4,1560.72,3,3,4,334,10
12647.0,3,23,7379.78,4,4,4,444,12
12648.0,73,3,579.85,2,3,3,233,8
12649.0,18,4,1235.24,4,3,4,434,11
12651.0,14,3,263.75,4,3,2,432,9
12652.0,70,1,65.25,2,1,1,211,4
12653.0,162,1,1292.88,1,1,4,114,6
12655.0,59,1,181.70000000000002,2,1,1,211,4
12656.0,61,3,1751.1100000000001,2,3,4,234,9
12661.0,72,1,162.0,2,1,1,211,4
12662.0,9,10,2656.79,4,4,4,444,12
12663.0,260,2,106.2,1,2,1,121,4
12664.0,362,1,90.0,1,1,1,111,3
12665.0,53,2,214.6,2,2,1,221,5
12666.0,30,1,600.62,3,1,3,313,7
12668.0,14,5,5945.42,4,3,4,434,11
12670.0,21,2,386.64000000000004,3,2,2,322,7
12671.0,242,1,1332.0610000000001,1,1,4,114,6
12672.0,231,1,171.20000000000002,1,1,1,111,3
12673.0,37,1,466.3,3,1,2,312,6
12675.0,214,1,613.95,1,1,3,113,5
12676.0,44,4,1030.98,3,3,3,333,9
12677.0,191,2,279.6,1,2,2,122,5
12678.0,11,6,965.62,4,4,3,443,11
12681.0,3,23,12855.46,4,4,4,444,12
12682.0,1,22,8847.06,4,4,4,444,12
12683.0,1,8,3200.61,4,4,4,444,12
12686.0,7,1,71.14,4,1,1,411,6
12687.0,116,1,1721.57,2,1,4,214,7
12691.0,56,1,99.6,2,1,1,211,4
12692.0,273,1,103.0,1,1,1,111,3
12693.0,88,2,485.11,2,2,2,222,6
12694.0,57,1,506.43,2,1,3,213,6
12695.0,164,3,658.07,1,3,3,133,7
12696.0,70,2,716.01,2,2,3,223,7
12698.0,226,1,218.45,1,1,1,111,3
12699.0,53,1,517.26,2,1,3,213,6
12701.0,165,4,1425.08,1,3,4,134,8
12703.0,269,3,605.78,1,3,3,133,7
12705.0,19,5,4585.26,3,3,4,334,10
12708.0,4,9,2074.92,4,4,4,444,12
12709.0,2,14,5437.21,4,4,4,444,12
12711.0,247,2,1107.45,1,2,3,123,6
12712.0,1,10,2131.65,4,4,4,444,12
12714.0,24,7,7244.42,3,4,4,344,11
12717.0,226,1,227.93,1,1,2,112,4
12720.0,5,5,1938.9,4,3,4,434,11
12721.0,21,2,1025.65,3,2,3,323,8
12724.0,19,3,946.8,3,3,3,333,9
12725.0,7,3,1495.42,4,3,4,434,11
12726.0,23,4,660.36,3,3,3,333,9
12727.0,78,3,1173.03,2,3,3,233,8
12728.0,19,1,171.59,3,1,1,311,5
12730.0,157,1,583.4,1,1,3,113,5
12731.0,78,4,3433.6,2,3,4,234,9
12733.0,25,3,1403.27,3,3,4,334,10
12734.0,10,2,191.55,4,2,1,421,7
12738.0,8,1,110.4,4,1,1,411,6
12739.0,30,1,692.89,3,1,3,313,7
12741.0,169,1,236.07,1,1,2,112,4
12742.0,261,1,1080.56,1,1,3,113,5
12744.0,95,4,2477.78,2,3,4,234,9
12745.0,122,2,417.93,2,2,2,222,6
12746.0,176,1,238.65,1,1,2,112,4
12747.0,5,16,3402.6800000000003,4,4,4,444,12
12748.0,1,125,13646.9,4,4,4,444,12
12749.0,35,4,1445.08,3,3,4,334,10
12751.0,80,1,268.27,2,1,2,212,5
12755.0,21,9,570.5100000000001,3,4,3,343,10
12758.0,95,5,3766.9900000000002,2,3,4,234,9
12759.0,22,5,2972.34,3,3,4,334,10
12760.0,91,1,317.8,2,1,2,212,5
12761.0,100,1,559.95,2,1,3,213,6
12763.0,5,1,320.08,4,1,2,412,7
12765.0,108,6,1063.98,2,4,3,243,9
12766.0,2,3,1935.25,4,3,4,434,11
12767.0,11,1,805.46,4,1,3,413,8
12768.0,86,1,150.45000000000002,2,1,1,211,4
12770.0,92,1,204.0,2,1,1,211,4
12771.0,121,1,169.5,2,1,1,211,4
12773.0,200,1,29.3,1,1,1,111,3
12774.0,171,1,83.7,1,1,1,111,3
12775.0,24,2,231.92000000000002,3,2,2,322,7
12776.0,303,1,27.5,1,1,1,111,3
12777.0,93,1,370.2,2,1,2,212,5
12778.0,32,3,716.92,3,3,3,333,9
12779.0,7,7,2198.41,4,4,4,444,12
12780.0,234,1,242.28,1,1,2,112,4
12782.0,10,6,1826.82,4,4,4,444,12
12784.0,165,1,845.58,1,1,3,113,5
12785.0,171,2,461.65,1,2,2,122,5
12786.0,245,1,548.5,1,1,3,113,5
12787.0,49,1,380.52,3,1,2,312,6
12788.0,99,4,384.9,2,3,2,232,7
12789.0,148,2,148.5,1,2,1,121,4
12790.0,46,1,158.33,3,1,1,311,5
12791.0,236,3,378.42999999999995,1,3,2,132,6
12792.0,170,1,321.92,1,1,2,112,4
12793.0,7,2,356.05,4,2,2,422,8
12797.0,1,2,435.43,4,2,2,422,8
12798.0,57,1,43.49,2,1,1,211,4
12799.0,165,1,202.4,1,1,1,111,3
12800.0,106,2,500.25,2,2,3,223,7
12801.0,136,1,699.35,2,1,3,213,6
12802.0,80,4,1549.6200000000001,2,3,4,234,9
12803.0,29,1,874.41,3,1,3,313,7
12804.0,101,2,287.57,2,2,2,222,6
12805.0,17,4,999.55,4,3,3,433,10
12806.0,208,2,676.56,1,2,3,123,6
12807.0,19,1,176.6,3,1,1,311,5
12808.0,4,3,377.45,4,3,2,432,9
12809.0,201,2,773.0300000000001,1,2,3,123,6
12810.0,170,2,474.99,1,2,2,122,5
12811.0,14,2,435.05,4,2,2,422,8
12813.0,137,3,915.8,2,3,3,233,8
12817.0,35,2,444.94,3,2,2,322,7
12819.0,94,1,335.28000000000003,2,1,2,212,5
12820.0,33,7,1383.19,3,4,4,344,11
12821.0,247,1,128.07999999999998,1,1,1,111,3
12825.0,157,2,260.28,1,2,2,122,5
12826.0,1,6,1280.18,4,4,4,444,12
12829.0,186,1,19.020000000000003,1,1,1,111,3
12831.0,99,2,190.4,2,2,1,221,5
12835.0,63,40,5108.03,2,4,4,244,10
12836.0,25,11,2335.07,3,4,4,344,11
12837.0,205,1,362.66,1,1,2,112,4
12838.0,9,9,1953.06,4,4,4,444,12
12839.0,3,12,4004.45,4,4,4,444,12
12840.0,73,3,996.74,2,3,3,233,8
12841.0,5,17,2613.1,4,4,4,444,12
12842.0,40,2,391.0,3,2,2,322,7
12843.0,18,16,1584.3600000000001,4,4,4,444,12
12844.0,78,2,232.06,2,2,2,222,6
12847.0,23,1,432.14,3,1,2,312,6
12848.0,311,1,154.3,1,1,1,111,3
12849.0,17,4,1117.04,4,3,3,433,10
12851.0,113,1,110.7,2,1,1,211,4
12853.0,63,5,1319.2,2,3,4,234,9
12854.0,197,4,1463.32,1,3,4,134,8
12855.0,8,3,369.59000000000003,4,3,2,432,9
12857.0,72,4,1410.5,2,3,4,234,9
12858.0,19,1,87.57,3,1,1,311,5
12859.0,94,1,462.9,2,1,2,212,5
12860.0,329,1,32.97,1,1,1,111,3
12861.0,255,1,39.599999999999994,1,1,1,111,3
12862.0,61,2,798.17,2,2,3,223,7
12863.0,15,5,588.05,4,3,3,433,10
12864.0,144,1,0.95,1,1,1,111,3
12865.0,14,2,1480.88,4,2,4,424,10
12866.0,110,2,535.93,2,2,3,223,7
12867.0,33,6,3674.12,3,4,4,344,11
12868.0,9,3,624.1,4,3,3,433,10
12869.0,317,1,230.57,1,1,2,112,4
12870.0,11,3,1261.14,4,3,4,434,11
12872.0,1,11,2652.32,4,4,4,444,12
12873.0,33,2,793.6,3,2,3,323,8
12874.0,21,2,706.6999999999999,3,2,3,323,8
12876.0,30,2,1283.66,3,2,4,324,9
12877.0,37,8,1354.0900000000001,3,4,4,344,11
12880.0,17,2,502.43,4,2,3,423,9
12887.0,19,1,194.70000000000002,3,1,1,311,5
12889.0,17,4,276.06,4,3,2,432,9
12890.0,23,1,281.75,3,1,2,312,6
12892.0,32,1,237.53,3,1,2,312,6
12894.0,211,1,103.95,1,1,1,111,3
12897.0,17,2,190.95000000000002,4,2,1,421,7
12898.0,295,1,109.57000000000001,1,1,1,111,3
12899.0,49,1,209.85,3,1,1,311,5
12900.0,58,1,268.08,2,1,2,212,5
12903.0,64,1,785.85,2,1,3,213,6
12905.0,212,2,738.14,1,2,3,123,6
12907.0,31,2,403.71000000000004,3,2,2,322,7
12909.0,60,3,783.26,2,3,3,233,8
12910.0,15,5,1388.8,4,3,4,434,11
12911.0,187,1,1131.69,1,1,3,113,5
12913.0,4,6,1086.5,4,4,3,443,11
12914.0,36,1,81.06,3,1,1,311,5
12915.0,8,3,536.65,4,3,3,433,10
12916.0,78,3,811.15,2,3,3,233,8
12917.0,36,4,597.6,3,3,3,333,9
12920.0,207,3,309.06,1,3,2,132,6
12921.0,2,39,14898.54,4,4,4,444,12
12923.0,26,2,283.05,3,2,2,322,7
12924.0,29,8,686.82,3,4,3,343,10
12925.0,228,1,25.2,1,1,1,111,3
12926.0,47,4,1439.72,3,3,4,334,10
12927.0,30,1,180.35999999999999,3,1,1,311,5
12928.0,14,7,1739.81,4,4,4,444,12
12931.0,185,6,514.68,1,4,3,143,8
12932.0,175,8,1271.78,1,4,4,144,9
12933.0,16,5,818.4,4,3,3,433,10
12935.0,11,8,1831.51,4,4,4,444,12
12937.0,99,5,1207.74,2,3,3,233,8
12939.0,25,2,162.72,3,2,1,321,6
12941.0,360,1,304.77,1,1,2,112,4
12942.0,1,1,174.85000000000002,4,1,1,411,6
12943.0,194,2,224.5,1,2,2,122,5
12945.0,292,1,420.16,1,1,2,112,4
12946.0,72,1,293.8,2,1,2,212,5
12947.0,9,1,264.24,4,1,2,412,7
12948.0,366,2,117.0,1,2,1,121,4
12949.0,18,14,9552.84,4,4,4,444,12
12951.0,22,9,1987.95,3,4,4,344,11
12953.0,158,1,383.76,1,1,2,112,4
12954.0,274,1,136.95,1,1,1,111,3
12956.0,320,3,399.90000000000003,1,3,2,132,6
12957.0,177,5,4059.9500000000003,1,3,4,134,8
12958.0,36,2,299.24,3,2,2,322,7
12959.0,120,1,63.6,2,1,1,211,4
12960.0,49,4,1071.07,3,3,3,333,9
12961.0,15,1,198.07,4,1,1,411,6
12963.0,1,5,1549.87,4,3,4,434,11
12964.0,73,1,92.49000000000001,2,1,1,211,4
12967.0,7,2,972.4200000000001,4,2,3,423,9
12969.0,238,1,109.7,1,1,1,111,3
12970.0,16,6,826.73,4,4,3,443,11
12971.0,2,30,2861.01,4,4,4,444,12
12972.0,49,4,862.62,3,3,3,333,9
12973.0,49,1,70.05000000000001,3,1,1,311,5
12974.0,201,1,238.65,1,1,2,112,4
12975.0,72,6,1630.17,2,4,4,244,10
12976.0,14,7,2078.3,4,4,4,444,12
12977.0,137,3,294.54,2,3,2,232,7
12978.0,21,5,2370.98,3,3,4,334,10
12979.0,365,1,320.91,1,1,2,112,4
12980.0,51,4,527.76,3,3,3,333,9
12982.0,30,7,1969.89,3,4,4,344,11
12983.0,234,1,314.88,1,1,2,112,4
12986.0,64,9,1734.5700000000002,2,4,4,244,10
12987.0,56,3,530.46,2,3,3,233,8
12989.0,133,7,917.7,2,4,3,243,9
12990.0,86,3,253.5,2,3,2,232,7
12991.0,25,1,133.96,3,1,1,311,5
12992.0,361,1,93.35000000000001,1,1,1,111,3
12993.0,81,4,768.75,2,3,3,233,8
12996.0,11,1,198.15,4,1,1,411,6
12997.0,30,4,828.48,3,3,3,333,9
12998.0,128,3,707.12,2,3,3,233,8
13000.0,361,1,465.8,1,1,2,112,4
13001.0,40,20,10534.67,3,4,4,344,11
13002.0,52,2,276.18,3,2,2,322,7
13004.0,22,18,5410.34,3,4,4,344,11
13005.0,67,2,322.03000000000003,2,2,2,222,6
13007.0,215,1,116.1,1,1,1,111,3
13008.0,33,2,331.66,3,2,2,322,7
13010.0,10,2,242.4,4,2,2,422,8
13011.0,8,1,50.550000000000004,4,1,1,411,6
13012.0,65,3,1209.98,2,3,4,234,9
13013.0,7,16,6349.58,4,4,4,444,12
13014.0,68,1,1630.64,2,1,4,214,7
13015.0,74,6,2104.07,2,4,4,244,10
13018.0,49,7,1892.06,3,4,4,344,11
13019.0,15,6,1140.8500000000001,4,4,3,443,11
13020.0,198,2,584.96,1,2,3,123,6
13021.0,10,8,1912.64,4,4,4,444,12
13022.0,65,1,50.3,2,1,1,211,4
13023.0,164,1,352.81,1,1,2,112,4
13024.0,106,2,451.02,2,2,2,222,6
13025.0,367,1,203.15,1,1,1,111,3
13026.0,227,3,578.44,1,3,3,133,7
13029.0,10,2,81.0,4,2,1,421,7
13030.0,4,1,295.11,4,1,2,412,7
13031.0,43,5,2850.91,3,3,4,334,10
13032.0,28,7,1203.48,3,4,3,343,10
13033.0,65,1,30.0,2,1,1,211,4
13034.0,5,2,247.01,4,2,2,422,8
13035.0,67,1,300.0,2,1,2,212,5
13036.0,320,1,15.0,1,1,1,111,3
13037.0,35,9,2658.34,3,4,4,344,11
13039.0,220,4,634.03,1,3,3,133,7
13041.0,86,4,623.63,2,3,3,233,8
13042.0,234,3,1350.59,1,3,4,134,8
13044.0,128,10,3031.06,2,4,4,244,10
13045.0,37,2,444.89,3,2,2,322,7
13046.0,92,1,271.14,2,1,2,212,5
13047.0,9,16,3472.6600000000003,4,4,4,444,12
13048.0,72,5,2100.54,2,3,4,234,9
13049.0,25,2,362.76,3,2,2,322,7
13050.0,2,18,5396.32,4,4,4,444,12
13051.0,214,1,46.8,1,1,1,111,3
13052.0,56,6,2397.13,2,4,4,244,10
13053.0,257,1,93.65,1,1,1,111,3
13055.0,65,1,995.23,2,1,3,213,6
13056.0,187,1,148.82999999999998,1,1,1,111,3
13057.0,166,3,351.2,1,3,2,132,6
13059.0,49,9,1571.42,3,4,4,344,11
13063.0,116,1,188.4,2,1,1,211,4
13064.0,186,2,398.0,1,2,2,122,5
13065.0,9,5,900.5500000000001,4,3,3,433,10
13067.0,45,2,281.5,3,2,2,322,7
13069.0,5,15,3305.66,4,4,4,444,12
13070.0,95,3,464.4,2,3,2,232,7
13071.0,248,1,78.22,1,1,1,111,3
13073.0,47,2,331.43,3,2,2,322,7
13074.0,147,3,433.8,1,3,2,132,6
13076.0,93,1,135.4,2,1,1,211,4
13077.0,2,8,2119.52,4,4,4,444,12
13078.0,2,32,11964.03,4,4,4,444,12
13079.0,53,1,199.08,2,1,1,211,4
13080.0,37,3,202.75,3,3,1,331,7
13081.0,7,17,21540.52,4,4,4,444,12
13082.0,60,8,1039.56,2,4,3,243,9
13083.0,61,1,10.08,2,1,1,211,4
13085.0,315,6,1916.4,1,4,4,144,9
13086.0,18,1,397.03000000000003,4,1,2,412,7
13087.0,362,1,195.54,1,1,1,111,3
13088.0,53,1,134.26,2,1,1,211,4
13089.0,4,85,31628.0,4,4,4,444,12
13090.0,1,8,1591.41,4,4,4,444,12
13091.0,365,1,307.70000000000005,1,1,2,112,4
13092.0,50,7,1140.0,3,4,3,343,10
13093.0,9,45,17872.92,4,4,4,444,12
13094.0,25,1,145.8,3,1,1,311,5
13097.0,24,17,5105.12,3,4,4,344,11
13101.0,134,3,478.11,2,3,2,232,7
13102.0,1,14,3616.66,4,4,4,444,12
13103.0,73,2,465.70000000000005,2,2,2,222,6
13104.0,51,3,289.98,3,3,2,332,8
13106.0,49,1,172.4,3,1,1,311,5
13107.0,49,5,1849.51,3,3,4,334,10
13108.0,8,2,398.29999999999995,4,2,2,422,8
13109.0,187,1,311.91,1,1,2,112,4
13110.0,73,5,1059.5,2,3,3,233,8
13111.0,354,1,311.8,1,1,2,112,4
13112.0,177,1,20.6,1,1,1,111,3
13113.0,2,14,2516.08,4,4,4,444,12
13114.0,366,1,163.93,1,1,1,111,3
13115.0,15,6,2956.33,4,4,4,444,12
13117.0,1,12,1466.54,4,4,4,444,12
13118.0,12,4,885.95,4,3,3,433,10
13119.0,304,1,134.9,1,1,1,111,3
